"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"574","<= 100",31466419,6.59999458075167e+21,"Credit Card",23,141.29,3000,3000,0.35,0.45,0.032,4
"575","<= 100",31466419,6.59999458075182e+21,"Credit Card",23,1251.37,5600,5600,0.35,0.45,0.032,4
"576","<= 100",31466419,6.59999458075186e+21,"Credit Card",23,70,3000,3000,0.35,0.45,0.032,4
"577","<= 100",31472532,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"578","<= 100",31472591,6.50105000000002e+21,"Consumer Loan",23,378243.4,378243.4,378243.4,0.35,0.45,0.032,4
"579","<= 100",31472982,6.50105000000002e+21,"Consumer Loan",23,378234.68,378234.68,378234.68,0.35,0.45,0.032,4
"580","<= 100",31473083,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"581","<= 100",31473121,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"582","<= 100",31473237,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"583","<= 100",31473261,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"584","<= 100",31473300,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"585","<= 100",31473342,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"586","<= 100",31473431,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"587","<= 100",31473466,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"588","<= 100",31474578,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"589","<= 100",31474624,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"590","<= 100",31474632,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"591","<= 100",31474683,6.50105000000002e+21,"Consumer Loan",23,379000.55,379000.55,379000.55,0.35,0.45,0.032,4
"592","<= 100",31474705,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"593","<= 100",31474721,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"594","<= 100",31474888,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"595","<= 100",31475434,6.50105000000002e+21,"Consumer Loan",23,378294.3,378294.3,378294.3,0.35,0.45,0.032,4
"596","<= 100",31479286,6.50308000000002e+21,"Consumer Loan",30,9867.22,9867.22,9867.22,0.35,0.45,0.032,4
"597","<= 100",31480098,6.50313000000002e+21,"Consumer Loan",30,122469.81,122469.81,122469.81,0.35,0.45,0.032,4
"598","<= 100",31495389,6.50121000001211e+21,"Lease",23,414956.9,414956.9,414956.9,0.35,0.45,0.032,4
"599","<= 100",31495710,6.50121000001211e+21,"Lease",23,414956.9,414956.9,414956.9,0.35,0.45,0.032,4
"600","(100, 250]",31552799,6.50016e+21,"Consumer Loan",30,485523.18,485523.18,485523.18,0.3,0.4,0.064,4
"602","<= 100",31668607,6.50258000000002e+21,"Consumer Loan",23,31747.47,31747.47,31747.47,0.35,0.45,0.032,4
"603","<= 100",31668607,6.50258000002581e+21,"Lease",23,468831.07,468831.07,468831.07,0.35,0.45,0.032,4
"604","<= 100",31668607,6.59999458075117e+21,"Credit Card",23,751.84,3000,3000,0.35,0.45,0.032,4
"605","(100, 250]",31674933,6.50134000000006e+21,"Mortgage",23,1383441.58,1383441.58,1383441.58,0.3,0.4,0.064,4
"606","<= 100",31766498,6.50031000000311e+21,"Lease",23,340785.48,340785.48,340785.48,0.35,0.45,0.032,4
"607","<= 100",31766498,6.50031000000311e+21,"Lease",23,207511.76,207511.76,207511.76,0.35,0.45,0.032,4
"608","<= 100",31766498,6.50031000000311e+21,"Lease",23,16481.62,16481.62,16481.62,0.35,0.45,0.032,4
"609","<= 100",31766498,6.50031000000311e+21,"Lease",23,16057.26,16057.26,16057.26,0.35,0.45,0.032,4
"610","<= 100",31787266,6.51084000000002e+21,"Consumer Loan",30,146728.52,146728.52,146728.52,0.35,0.45,0.032,4
"611","<= 100",31854176,6.50034000000002e+21,"Consumer Loan",30,5891.55,5891.55,5891.55,0.35,0.45,0.032,4
"612","<= 100",31958281,6.51256000000006e+21,"Mortgage",20,161689.92,161689.92,161689.92,0.35,0.45,0.032,4
"613","<= 100",31978388,6.50067000000006e+21,"Mortgage",23,2695816.39,2695816.39,2695816.39,0.35,0.45,0.032,4
"614","<= 100",32069944,6.51382000000002e+21,"Consumer Loan",23,9878.67,9878.67,9878.67,0.35,0.45,0.032,4
"615","<= 100",32079370,6.50037000000006e+21,"Mortgage",20,200896.93,200896.93,200896.93,0.35,0.45,0.032,4
"616","<= 100",32163193,6.50041000000006e+21,"Mortgage",23,2244424.12,2244424.12,2244424.12,0.35,0.45,0.032,4
"617","<= 100",32166214,6.50067000000001e+21,"Consumer Loan",23,67260.72,71283.02,71283.02,0.35,0.45,0.032,4
"618","<= 100",32166214,6.50067000000671e+21,"Lease",23,199834.66,199834.66,199834.66,0.35,0.45,0.032,4
"619","<= 100",32264477,6.51165000011651e+21,"Lease",30,8803.94,8803.94,8803.94,0.35,0.45,0.032,4
"620","<= 100",32264488,6.50169e+21,"Consumer Loan",20,109093.43,109093.43,109093.43,0.35,0.45,0.032,4
"621","<= 100",32360703,6.50313000000006e+21,"Mortgage",23,442379.75,442379.75,442379.75,0.35,0.45,0.032,4
"622","<= 100",32461909,6.51359000000002e+21,"Consumer Loan",23,152763.9,152763.9,152763.9,0.35,0.45,0.032,4
"623","<= 100",32656823,6.51502000000006e+21,"Mortgage",30,28169.43,28169.43,28169.43,0.35,0.45,0.032,4
"624","<= 100",32679033,6.51556000000002e+21,"Consumer Loan",20,335527.63,335527.63,335527.63,0.35,0.45,0.032,4
"625","<= 100",32692161,6.50032000000321e+21,"Lease",23,390949.43,390949.43,390949.43,0.35,0.45,0.032,4
"626","<= 100",32692161,6.50032000000321e+21,"Lease",23,403296.74,403296.74,403296.74,0.35,0.45,0.032,4
"627","<= 100",32692161,6.50032000000321e+21,"Lease",23,396527.38,396527.38,396527.38,0.35,0.45,0.032,4
"628","<= 100",32692161,6.50032000000321e+21,"Lease",23,427379.36,427379.36,427379.36,0.35,0.45,0.032,4
"629","<= 100",32705328,6.51507000015071e+21,"Lease",20,12925.98,12925.98,12925.98,0.35,0.45,0.032,4
"630","<= 100",32718322,6.50328000000006e+21,"Mortgage",30,163607.93,163607.93,163607.93,0.35,0.45,0.032,4
"631","<= 100",32751966,6.51354000000002e+21,"Consumer Loan",23,120512.73,120512.73,120512.73,0.35,0.45,0.032,4
"632","<= 100",32763727,6.51067000010671e+21,"Lease",23,243001.2,243001.2,243001.2,0.35,0.45,0.032,4
"633","<= 100",32788827,6.51192000000002e+21,"Consumer Loan",23,6969071.92,6969071.92,6969071.92,0.35,0.45,0.032,4
"634","<= 100",32961707,6.50315000000002e+21,"Consumer Loan",23,37478.38,37478.38,37478.38,0.35,0.45,0.032,4
"635","<= 100",33203172,6.50032000000002e+21,"Consumer Loan",30,287178.17,287178.17,287178.17,0.35,0.45,0.032,4
"636","<= 100",33256241,6.51218000012181e+21,"Lease",20,371819.9,371819.9,371819.9,0.35,0.45,0.032,4
"637","<= 100",33256241,6.51218000012181e+21,"Lease",20,375760.1,375760.1,375760.1,0.35,0.45,0.032,4
